,values
380,2.8811885e-07
381,1.4336636e-06
382,1.3547092e-06
383,2.2899167e-07
384,1.6563127e-06
385,0.0
386,0.0
387,1.6331961e-06
388,3.470371e-07
389,1.2735441e-06
390,1.11859e-06
391,1.3483315e-06
392,1.9566803e-06
393,1.2496315e-06
394,1.1744293e-06
395,3.37377e-06
396,8.877162e-07
397,4.7897373e-07
398,9.155729e-09
399,7.2236483e-09
400,5.2469045e-06
401,1.390954e-06
402,2.4157436e-07
403,3.4801415e-06
404,6.00016e-06
405,0.0
406,6.882687e-07
407,1.6730316e-06
408,1.8993873e-06
409,0.0
410,4.766437e-07
411,2.0730345e-06
412,0.0
413,7.1133314e-07
414,6.736551e-06
415,1.7144447e-06
416,5.517601e-06
417,1.2709936e-06
418,4.4560747e-06
419,5.5693286e-06
420,8.524407e-06
421,8.103217e-06
422,1.3099228e-05
423,1.26790665e-05
424,1.5404574e-05
425,1.9282645e-05
426,2.5605043e-05
427,2.5192225e-05
428,3.2126198e-05
429,4.1682157e-05
430,5.4725933e-05
431,6.990417e-05
432,8.428324e-05
433,9.5031464e-05
434,0.00010838171
435,0.00013062313
436,0.0001524543
437,0.0001706313
438,0.00019680787
439,0.00023007285
440,0.00025479193
441,0.00029283366
442,0.00033319628
443,0.0003795406
444,0.00042987423
445,0.0005019484
446,0.00056092936
447,0.0006112167
448,0.0006559941
449,0.000681972
450,0.0006914543
451,0.0006736662
452,0.0006420211
453,0.00059472385
454,0.00053662295
455,0.0004721449
456,0.00041617188
457,0.00036364867
458,0.00032704484
459,0.000301656
460,0.0002850649
461,0.00026286513
462,0.00025272171
463,0.0002362816
464,0.00022196883
465,0.0002037288
466,0.00018187096
467,0.00017223021
468,0.00016048331
469,0.00013736954
470,0.00012731964
471,0.000116466064
472,0.000103394304
473,9.079101e-05
474,8.2904444e-05
475,7.456204e-05
476,6.5641e-05
477,6.388912e-05
478,5.8510723e-05
479,5.2318155e-05
480,4.5686837e-05
481,4.538502e-05
482,4.439199e-05
483,3.737919e-05
484,3.156206e-05
485,3.1020634e-05
486,2.700929e-05
487,2.8474304e-05
488,2.5847356e-05
489,2.9241188e-05
490,1.6242457e-05
491,2.0534959e-05
492,1.9436406e-05
493,1.6183129e-05
494,2.0532543e-05
495,1.9125477e-05
496,2.0423977e-05
497,1.9900206e-05
498,2.0852895e-05
499,1.96121e-05
500,2.5548692e-05
501,2.6446876e-05
502,2.7603239e-05
503,2.832652e-05
504,3.1338088e-05
505,2.6277963e-05
506,3.1247237e-05
507,3.2769713e-05
508,3.1163894e-05
509,3.2842847e-05
510,3.6936282e-05
511,3.5901012e-05
512,3.8919632e-05
513,3.6283192e-05
514,3.4338445e-05
515,3.3333094e-05
516,3.0503974e-05
517,2.9435252e-05
518,2.776119e-05
519,2.7185324e-05
520,2.6469466e-05
521,2.1795107e-05
522,1.9467712e-05
523,2.1513144e-05
524,2.2105505e-05
525,1.9619098e-05
526,1.6379314e-05
527,1.3739575e-05
528,1.8491544e-05
529,1.7446879e-05
530,1.1156519e-05
531,8.3683135e-06
532,1.251946e-05
533,1.2266933e-05
534,9.177864e-06
535,3.9660795e-06
536,8.238691e-06
537,9.497082e-06
