,values
380,0.0
381,0.0
382,1.8602676e-06
383,0.0
384,7.414583e-07
385,0.0
386,2.0759085e-06
387,1.6181813e-06
388,9.0880843e-07
389,3.6580543e-06
390,3.549616e-07
391,6.381945e-06
392,2.5793609e-06
393,1.8913522e-07
394,5.5492833e-06
395,4.58408e-06
396,4.996835e-06
397,3.7506918e-06
398,2.7467186e-07
399,3.0339326e-08
400,9.5027275e-08
401,2.099004e-06
402,7.769047e-07
403,3.2740506e-06
404,0.0
405,1.6613518e-06
406,1.9798565e-06
407,0.0
408,0.0
409,3.2740984e-06
410,2.0593245e-06
411,0.0
412,0.0
413,1.382184e-06
414,1.209863e-07
415,6.2891204e-06
416,0.0
417,3.2800942e-06
418,4.357438e-07
419,1.9164404e-06
420,4.933013e-06
421,3.270426e-06
422,0.0
423,1.1635386e-06
424,4.0416998e-07
425,0.0
426,1.0825092e-06
427,3.1850684e-07
428,0.0
429,0.0
430,2.603851e-06
431,2.4042567e-06
432,1.6825946e-07
433,2.911121e-06
434,3.6603961e-07
435,1.3234102e-06
436,1.1768572e-07
437,1.4132224e-06
438,2.7833016e-06
439,1.8589087e-06
440,2.9012429e-06
441,3.4654174e-06
442,8.061204e-07
443,3.4821662e-06
444,3.237252e-06
445,1.6541678e-06
446,0.0
447,4.77723e-09
448,4.7040575e-07
449,0.0
450,2.0188772e-06
451,0.0
452,1.018387e-06
453,4.8563305e-07
454,1.5973978e-06
455,6.1046194e-06
456,1.2775516e-06
457,1.1720103e-06
458,1.6092928e-06
459,2.083953e-06
460,1.8078024e-06
461,0.0
462,4.889282e-06
463,6.1655e-08
464,0.0
465,0.0
466,1.2977055e-06
467,2.6629573e-06
468,6.6416027e-07
469,0.0
470,7.3208807e-06
471,4.1323543e-07
472,8.020038e-07
473,3.128772e-07
474,0.0
475,2.3568637e-07
476,1.4883418e-06
477,1.5731355e-06
478,9.557784e-07
479,0.0
480,1.3827766e-06
481,0.0
482,3.5322395e-07
483,1.2013804e-07
484,0.0
485,2.5618243e-07
486,1.00927444e-07
487,7.6818134e-07
488,4.0334602e-09
489,0.0
490,2.0704554e-06
491,6.3318883e-09
492,1.6780732e-06
493,5.078438e-06
494,1.4828888e-06
495,8.0616405e-07
496,3.8671633e-06
497,2.4634278e-06
498,5.723646e-07
499,2.4476851e-06
500,3.154683e-07
501,2.6989374e-06
502,3.1739594e-06
503,3.2630612e-07
504,1.3498295e-06
505,3.6783094e-06
506,2.8445543e-06
507,4.51405e-06
508,2.5468576e-06
509,1.1496869e-06
510,0.0
511,3.2613264e-07
512,1.1695635e-06
513,4.7541062e-07
514,5.0211015e-06
515,5.0571373e-07
516,4.260927e-06
517,4.7292917e-07
518,5.786579e-06
519,2.8873203e-06
520,7.1621734e-08
