,values
380,3.0930019e-06
381,0.0
382,1.9539075e-07
383,9.5201233e-07
384,3.6422514e-07
385,0.0
386,0.0
387,1.6061502e-06
388,2.2510515e-07
389,4.1372427e-06
390,5.816551e-06
391,1.1336642e-06
392,3.0412093e-06
393,2.7419942e-06
394,4.609353e-06
395,0.0
396,1.4701342e-07
397,1.5198931e-07
398,0.0
399,7.742084e-08
400,1.9755645e-07
401,3.8296344e-06
402,0.0
403,7.638655e-07
404,1.4844395e-06
405,2.569594e-06
406,1.6798782e-06
407,2.889883e-06
408,8.3030926e-07
409,9.746275e-06
410,2.4004978e-06
411,0.0
412,7.3203805e-06
413,3.336617e-06
414,2.206381e-06
415,8.3187115e-06
416,7.641906e-06
417,5.264349e-07
418,3.2066657e-06
419,6.439717e-06
420,5.2006553e-06
421,1.124746e-05
422,1.1193156e-05
423,1.6884005e-05
424,1.657844e-05
425,2.029759e-05
426,2.1802318e-05
427,2.5991636e-05
428,3.9596704e-05
429,4.7868707e-05
430,5.312063e-05
431,6.338582e-05
432,7.514587e-05
433,9.6176256e-05
434,0.00011693996
435,0.00012990416
436,0.00015088939
437,0.00017529455
438,0.00020208558
439,0.00022894703
440,0.00025808223
441,0.0002985745
442,0.00033543888
443,0.00037737892
444,0.00043529342
445,0.00050823524
446,0.00056135934
447,0.00061950576
448,0.0006631629
449,0.00068915565
450,0.00069829606
451,0.00068330497
452,0.0006549204
453,0.0006058727
454,0.0005355112
455,0.00047511753
456,0.00041794594
457,0.0003674721
458,0.00033363226
459,0.00030419976
460,0.0002861603
461,0.00026187423
462,0.0002499299
463,0.00023154164
464,0.00022490327
465,0.00020468843
466,0.00019172834
467,0.00017546222
468,0.0001581036
469,0.00013992094
470,0.00013127753
471,0.00011622097
472,0.000106440944
473,9.311842e-05
474,8.552396e-05
475,7.479874e-05
476,7.257017e-05
477,6.202538e-05
478,6.0984516e-05
479,5.931859e-05
480,5.8429207e-05
481,5.4547403e-05
482,5.6106783e-05
483,4.755695e-05
484,5.0827715e-05
485,4.7393038e-05
486,4.4635577e-05
487,4.533237e-05
488,4.090959e-05
489,4.256691e-05
490,3.9024115e-05
491,4.6137036e-05
492,4.3724496e-05
493,4.574765e-05
494,5.17867e-05
495,5.3624888e-05
496,5.136753e-05
497,5.9400074e-05
498,6.660464e-05
499,6.946486e-05
500,8.950226e-05
501,9.570395e-05
502,0.000109032764
503,0.00012180364
504,0.00012231985
505,0.00013864048
506,0.00014447414
507,0.0001620582
508,0.00017946844
509,0.00019870374
510,0.00022472235
511,0.00025830898
512,0.00028585494
513,0.00030880593
514,0.00031338327
515,0.00031901826
516,0.00032785343
517,0.0003355466
518,0.0003394627
519,0.00034973025
520,0.00036064818
521,0.0003732256
522,0.0004011449
523,0.00041068942
524,0.00043143053
525,0.0004342578
526,0.00044679263
527,0.00045439397
528,0.00044858415
529,0.00044303035
530,0.00042709627
531,0.0004193822
532,0.00040651197
533,0.00039971582
534,0.00038348473
535,0.0003783394
536,0.00037700174
537,0.00036363857
538,0.00035125445
539,0.00033744262
540,0.0003288635
541,0.00031450487
542,0.00030595218
543,0.00029842215
544,0.00028555983
545,0.00027623802
546,0.0002612187
547,0.00025113655
548,0.00023438061
549,0.00023267118
550,0.00022368898
551,0.00020645329
552,0.00019938879
553,0.00019183333
554,0.0001774009
555,0.00016581349
556,0.00015620401
557,0.00014513431
558,0.00013334345
559,0.00012720509
560,0.00011566515
561,0.00010777912
562,9.902997e-05
563,9.77598e-05
564,8.957699e-05
565,8.788747e-05
566,7.682502e-05
567,6.942678e-05
568,6.883438e-05
569,6.011562e-05
570,5.4341173e-05
571,5.4102067e-05
572,4.7611065e-05
573,4.865679e-05
574,4.5975787e-05
575,3.6739944e-05
576,3.2023945e-05
577,3.0189576e-05
578,2.8247407e-05
579,2.9405814e-05
580,2.5891892e-05
581,2.4881403e-05
582,2.9653977e-05
583,2.7091173e-05
584,2.4889703e-05
585,2.4886016e-05
586,2.6105077e-05
587,2.849945e-05
588,2.8350758e-05
589,2.9956685e-05
590,3.196044e-05
591,3.2228192e-05
592,2.939768e-05
593,3.366769e-05
594,3.494764e-05
595,3.460962e-05
596,4.2877513e-05
597,4.7551395e-05
598,5.0463557e-05
599,4.6178488e-05
600,4.8247577e-05
601,4.5916942e-05
602,4.8162237e-05
603,5.7586745e-05
604,5.5850825e-05
605,6.303478e-05
606,7.3703326e-05
607,0.00011085642
608,0.00019648929
609,0.00025313557
610,0.00022996486
611,0.0002171116
612,0.0003354891
613,0.0005194643
614,0.0005565
615,0.0004071466
616,0.00024103894
617,0.00017249008
618,0.0001527262
619,0.00015469729
620,0.00015732294
621,0.00014520892
622,0.00014785786
623,0.00014767254
624,0.00016800874
625,0.0001890323
626,0.00021367593
627,0.00025587378
628,0.00036554583
629,0.0007717394
630,0.0013439017
631,0.0015138573
632,0.0012146353
633,0.0008742715
634,0.0009422815
635,0.0010425961
636,0.00082884444
637,0.00047083345
638,0.00021129203
639,0.000104056555
640,6.691776e-05
641,5.305203e-05
642,4.5576755e-05
643,4.58218e-05
644,5.3183165e-05
645,9.067095e-05
646,0.00018134488
647,0.00027046492
648,0.00025841576
649,0.00017542184
650,0.00010042798
651,7.2639916e-05
652,5.6941295e-05
653,4.96891e-05
654,4.082486e-05
655,4.2817996e-05
656,3.9809183e-05
657,3.0672843e-05
658,2.3188093e-05
659,1.9631994e-05
660,2.239344e-05
661,1.8698973e-05
662,1.7379763e-05
663,1.2651936e-05
664,1.3342409e-05
665,1.206961e-05
666,1.20585555e-05
667,7.2636903e-06
668,1.05492845e-05
669,1.8171357e-05
670,2.007034e-05
671,1.2076884e-05
672,1.510999e-05
673,6.1494943e-06
674,4.5371116e-06
675,1.0747168e-05
676,1.0190679e-05
677,6.834443e-06
678,2.947092e-06
679,2.153892e-06
680,3.3938948e-06
681,6.201721e-06
682,2.669337e-06
683,0.0
684,3.6932088e-06
685,2.5704949e-06
686,6.7071096e-06
687,1.9476186e-06
688,3.1612592e-06
689,0.0
690,1.141468e-06
691,7.233357e-07
692,7.896899e-06
693,4.3880177e-06
694,5.5592996e-06
695,3.8680687e-06
696,6.3768703e-06
697,6.480677e-08
698,1.360907e-06
699,7.832971e-07
700,1.96602e-06
701,1.7617091e-06
702,1.8189664e-06
703,1.8108891e-06
704,3.1823704e-06
705,3.502033e-06
706,4.030208e-06
707,3.8050414e-06
708,3.1026314e-06
709,2.554702e-06
710,2.3274515e-06
711,2.0150353e-06
712,1.75831e-06
713,2.0236496e-06
714,2.2028537e-06
715,2.4476665e-06
716,2.2596846e-06
717,2.5306242e-06
718,2.8518568e-06
719,2.6908176e-06
720,2.55915e-06
721,1.946895e-06
722,1.0493296e-06
723,1.504371e-06
724,1.3324819e-06
725,1.2447088e-06
726,1.8491706e-06
727,1.208888e-06
728,2.3677644e-06
729,4.7020476e-06
730,4.5413667e-06
